Iteration,PE_X,PE_Y,SRAM,EDP,Total_Energy,Logic_Energy,DRAM_Energy,Cycles
1,7,16,111886,1e+25,0,0,0,0
2,14,11,118460,1e+25,0,0,0,0
3,8,10,14457,1e+25,0,0,0,0
4,6,10,45386,1e+25,0,0,0,0
5,14,11,52323,1e+25,0,0,0,0
6,11,10,89419,1e+25,0,0,0,0
7,10,6,24060,1e+25,0,0,0,0
8,4,15,74732,1e+25,0,0,0,0
9,14,13,34072,1e+25,0,0,0,0
10,16,11,38600,1e+25,0,0,0,0
11,15,9,19446,1e+25,0,0,0,0
12,14,16,83824,1e+25,0,0,0,0
13,12,5,46256,1e+25,0,0,0,0
14,16,10,12682,1e+25,0,0,0,0
15,4,15,121309,1e+25,0,0,0,0
1,7,16,111886,1e+25,0,0,0,0
2,14,11,118460,1e+25,0,0,0,0
3,8,10,14457,1e+25,0,0,0,0
1,baseline,4,32,431374,1e+16,0,0,0.0
2,atomic,1,21,452885,1e+16,0,0,0.0
3,baseline,4,24,222381,1e+16,0,0,0.0
1,baseline,4,32,431374,1e+16,0,0,0.0
2,atomic,1,21,452885,1e+16,0,0,0.0
3,baseline,4,24,222381,1e+16,0,0,0.0
4,atomic,7,10,464764,1e+16,0,0,0.0
5,baseline,6,15,646516,1e+16,0,0,0.0
6,atomic,7,14,77064,1e+16,0,0,0.0
1,baseline,4,32,431374,1e+16,0,0,0.0
1,baseline,4,32,431374,1e+16,0,0,0.0
1,baseline,4,32,431374,7.057735216051823e+18,28902226.0,244193482400.0,25.28218904
2,atomic,1,21,452885,1.000219272019968e+16,3027763.2,3303492400.0,3.0693882400000003
3,baseline,4,24,222381,1.4542940158121206e+19,57803602.0,251592282400.0,14.166602319999999
4,atomic,7,10,464764,1.3916080968007682e+16,2042163.2000000002,6814382400.0,8.30856668
5,baseline,6,15,646516,1.798853971033935e+19,115606354.0,155601652400.0,12.44175968
6,atomic,7,14,77064,2869212222750720.0,875212.8,3278302400.0,8.504702199999999
7,baseline,4,21,554436,1.4543026863524205e+19,57803602.0,251593782400.0,13.07498792
8,atomic,14,12,409077,4603262884577280.0,898867.2000000001,5121182400.0,18.92288424
9,baseline,1,15,219245,1.768912302199224e+17,28902226.0,6120332400.0,1.56869368
1,baseline,4,32,431374,7.057735216051823e+18,28902226.0,244193482400.0,25.28218904
1,baseline,4,32,431374,1.2189892843453684e+19,28902226.0,421763114144.0,25.28218904,16.64
2,atomic,1,21,452885,1.0686679195267892e+16,3027763.2,3529562416.0,3.0693882400000003,470.20
3,baseline,4,24,222381,2.480710447873795e+19,57803602.0,429161914144.0,14.166602319999999,19.04
1,baseline,4,32,431374,1.2189892843453684e+19,28902226.0,421763114144.0,25.28218904,17.14
2,atomic,1,21,452885,1.0686679195267892e+16,3027763.2,3529562416.0,3.0693882400000003,490.86
3,baseline,4,24,222381,2.480710447873795e+19,57803602.0,429161914144.0,14.166602319999999,13.20
4,atomic,7,10,464764,1.4383173161209038e+16,2042163.2000000002,7043106624.0,8.30856668,109.61
1,baseline,4,32,431374,1e+16,0,0,0.0,1.42
2,atomic,1,21,452885,1e+16,0,0,0.0,1.42
3,baseline,4,24,222381,1e+16,0,0,0.0,1.32
4,atomic,7,10,464764,1e+16,0,0,0.0,1.23
5,baseline,6,15,646516,1e+16,0,0,0.0,1.32
1,baseline,4,32,431374,1e+16,0,0,0.0,15.38
1,baseline,4,32,431374,1e+16,0,0,0.0,89.38
1,baseline,4,32,431374,1e+16,0,0,0.0,124.15
1,baseline,4,32,431374,1e+16,0,0,0.0,14.79
2,atomic,1,21,452885,8.516599347066963e+16,21194342.400000002,4018336208.0,3.06802356,22.72
3,baseline,4,24,222381,1e+16,0,0,0.0,11.06
4,atomic,7,10,464764,5.706226568081572e+16,6126489.600000001,9314023104.0,8.307202,15.29
5,baseline,6,12,646516,1e+16,0,0,0.0,17.41
6,atomic,7,11,77064,1e+16,0,0,0.0,8.16
7,baseline,4,21,554436,1e+16,0,0,0.0,17.31
8,atomic,14,12,933365,3.5881705254317264e+16,3146035.2,11405373104.0,29.081893559999997,18.78
9,baseline,1,15,743533,1.7032977872777533e+17,14451538.0,11786273456.0,2.243559,21.31
10,atomic,10,9,788192,1e+16,0,0,0.0,17.80
11,baseline,13,15,122381,1e+16,0,0,0.0,8.26
12,atomic,14,25,383397,1e+17,0,0,56.370483,14.49
13,baseline,6,6,388879,1e+16,0,0,0.0,14.19
14,atomic,11,11,148424,1e+16,0,0,0.0,10.98
15,baseline,5,19,199872,1e+16,0,0,0.0,11.07
16,atomic,7,9,700822,6.737002316791973e+16,6126489.600000001,10996513104.0,9.24319972,18.35
17,baseline,1,18,486293,3.0677892195506464e+16,7226194.0,4245373456.0,2.4679078400000005,20.30
18,atomic,13,17,459415,1e+16,0,0,0.0,14.19
19,baseline,2,10,334223,1e+16,0,0,0.0,13.98
20,atomic,3,6,452624,1e+16,0,0,0.0,14.08
21,baseline,9,21,434057,1e+16,0,0,0.0,14.18
22,atomic,5,15,484567,1e+16,0,0,0.0,14.18
23,baseline,7,10,114742,1e+16,0,0,0.0,8.26
24,atomic,6,12,133845,1e+16,0,0,0.0,10.98
25,baseline,13,23,128122,1e+16,0,0,0.0,10.97
26,atomic,6,14,318917,5.857384429713654e+16,7119974.4,8226693104.0,9.279411159999999,15.18
27,baseline,5,11,117668,1e+16,0,0,0.0,8.25
28,atomic,6,13,322155,5.8780252354992536e+16,7119974.4,8255683103.999999,8.39604124,15.08
29,baseline,9,6,306968,1e+16,0,0,0.0,14.20
30,atomic,8,15,250935,1e+16,0,0,0.0,13.99
31,baseline,6,18,203850,1e+16,0,0,0.0,11.06
32,atomic,5,18,270730,1e+16,0,0,0.0,13.99
33,baseline,6,13,256201,1e+16,0,0,0.0,13.88
34,atomic,3,7,251345,1e+16,0,0,0.0,13.89
35,baseline,10,11,235904,1e+16,0,0,0.0,11.08
1,baseline,4,32,431374,1e+16,0,0,0.0,14.71
1,baseline,4,32,431374,1e+16,0,0,0.0,14.51
1,baseline,4,32,431374,1e+16,0,0,0.0,14.50
1,baseline,4,32,431374,1e+16,0,0,0.0,14.49
1,baseline,4,32,431374,1e+16,0,0,0.0,14.50
1,baseline,4,32,431374,1e+16,0,0,0.0,14.61
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,37.10
2,atomic,1,21,3533077,1.4220496293435804e+16,3532390.4000000004,4025743104.0,6.72722756,32.49
3,baseline,4,24,3302573,1.9603128092370406e+18,57803602.0,33913333104.0,28.96251764,26.06
4,atomic,7,10,1895968,5.0584906597438264e+16,2042163.2000000002,24770256656.0,20.78585,22.93
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.58
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.69
7,baseline,4,24,4683204,2.3157841522403205e+18,57803602.0,40062973104.0,36.04047763999999,30.18
8,atomic,6,15,16596469,1e+17,0,0,121.760623,35.00
9,baseline,1,18,18503789,4.747055538434646e+16,7226194.0,6569233456.0,23.02473684,201.27
10,atomic,2,12,7014112,3.328852165008556e+17,7064780.800000001,47118973104.0,18.362257080000003,30.94
11,baseline,5,18,6349724,2.7251087990829204e+18,57803602.0,47144273104.0,47.348885200000005,30.56
12,atomic,6,28,11852197,1e+17,0,0,110.40342364,32.17
13,baseline,2,16,6558743,2.7661354836384404e+18,57803602.0,47854033104.0,18.668156919999998,29.58
14,atomic,3,21,10568648,1.3045306207380933e+17,2373324.8000000003,54966375472.0,45.39098368,32.42
15,baseline,1,14,8893858,4.305055863493153e+17,14451538.0,29789603456.0,11.980668360000001,176.88
16,atomic,3,19,7975318,1.1351912856008131e+17,2373324.8000000003,47831265472.0,35.803305280000004,32.02
17,baseline,1,21,4217881,4.298388379168646e+16,7226194.0,5948343456.0,7.760337560000001,176.88
18,atomic,1,27,4063895,1.4783206084155804e+16,3532390.4000000004,4185043104.0,9.22578164,34.89
19,baseline,2,20,9422218,3.1377531067883807e+18,57803602.0,54283003104.0,27.344131,32.67
20,atomic,3,16,11041967,1.3341527995643333e+17,2373324.8000000003,56214505472.0,43.62971488,32.49
21,baseline,1,15,9805705,4.474563733310353e+17,14451538.0,30962543456.0,13.098537,169.51
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.29
2,atomic,1,21,3533077,1.4220496293435804e+16,3532390.4000000004,4025743104.0,6.72722756,31.81
3,baseline,4,24,3302573,1.9603128092370406e+18,57803602.0,33913333104.0,28.96251764,25.73
4,atomic,7,10,1895968,5.0584906597438264e+16,2042163.2000000002,24770256656.0,20.78585,22.79
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.28
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.61
7,baseline,4,24,4683204,2.3157841522403205e+18,57803602.0,40062973104.0,36.04047763999999,29.19
8,atomic,6,15,16596469,1e+17,0,0,121.760623,34.69
9,baseline,1,18,18503789,4.747055538434646e+16,7226194.0,6569233456.0,23.02473684,191.54
10,atomic,2,12,7014112,3.328852165008556e+17,7064780.800000001,47118973104.0,18.362257080000003,29.93
11,baseline,5,18,6349724,2.7251087990829204e+18,57803602.0,47144273104.0,47.348885200000005,30.07
12,atomic,6,28,11852197,1e+17,0,0,110.40342364,32.37
13,baseline,2,16,6558743,2.7661354836384404e+18,57803602.0,47854033104.0,18.668156919999998,29.86
14,atomic,3,21,10568648,1.3045306207380933e+17,2373324.8000000003,54966375472.0,45.39098368,32.96
15,baseline,1,14,8893858,4.305055863493153e+17,14451538.0,29789603456.0,11.980668360000001,194.93
16,atomic,3,19,7975318,1.1351912856008131e+17,2373324.8000000003,47831265472.0,35.803305280000004,33.22
17,baseline,1,21,4217881,4.298388379168646e+16,7226194.0,5948343456.0,7.760337560000001,187.18
18,atomic,1,27,4063895,1.4783206084155804e+16,3532390.4000000004,4185043104.0,9.22578164,36.63
19,baseline,2,20,9422218,3.1377531067883807e+18,57803602.0,54283003104.0,27.344131,33.32
20,atomic,3,16,11041967,1.3341527995643333e+17,2373324.8000000003,56214505472.0,43.62971488,33.09
21,baseline,1,15,9805705,4.474563733310353e+17,14451538.0,30962543456.0,13.098537,192.13
22,atomic,1,25,10904791,2.0933733600827804e+16,3532390.4000000004,5926223104.0,16.504801,40.44
23,baseline,7,30,8962102,1e+17,0,0,112.018516,34.89
24,atomic,6,15,4934983,9.493772790318531e+16,2373324.8000000003,40001995472.0,43.918543,30.21
25,baseline,5,30,15266938,1e+17,0,0,113.183726,34.59
26,atomic,6,17,17464281,1e+17,0,0,130.29822844,35.30
27,baseline,3,14,17821898,1e+17,0,0,64.62470608,35.50
28,atomic,4,16,9955947,1e+17,0,0,53.63655283999999,32.78
29,baseline,7,25,3298363,1e+17,0,0,52.610748,25.24
30,atomic,6,18,17245736,1e+17,0,0,129.36922203999998,34.89
31,baseline,4,21,16994149,1e+17,0,0,87.77091123999999,34.59
32,atomic,3,21,18595600,1e+17,0,0,71.25398367999999,34.69
33,baseline,4,23,9103561,1e+17,0,0,56.22219955999999,32.18
34,atomic,1,17,11458001,6.356609365515961e+16,7064780.800000001,8997603104.0,15.20687124,40.41
35,baseline,4,21,5728298,2.6419143868684006e+18,57803602.0,45705013104.0,37.23923124,30.53
36,atomic,4,18,8841172,1e+17,0,0,50.52494836,32.90
37,baseline,3,21,8869993,3.0575581234816404e+18,57803602.0,52895633104.0,40.06988368,33.41
