Iter,Nodes,PE_Dim,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,4,32,16741,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,101.62,73.29,0.0%
2,1,19,3450,7.23e+16,9.57e+06,7.56e+09,3.28e+16,5.09e+06,6.45e+09,6.33,213.69,54.6%
3,4,22,3225,2.08e+18,5.89e+07,3.54e+10,5.50e+16,1.66e+06,3.31e+10,27.10,54.74,Inf
4,7,8,1851,1.00e+18,0.00e+00,0.00e+00,1.01e+17,6.27e+06,1.61e+10,19.72,46.09,0.0%
5,6,13,14770,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,110.66,65.59,0.0%
6,7,12,15371,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,132.95,70.01,0.0%
7,4,22,4573,2.44e+18,5.89e+07,4.15e+10,6.46e+16,1.66e+06,3.89e+10,34.17,61.77,Inf
8,2,20,3347,2.17e+18,5.93e+07,3.67e+10,1.13e+17,3.29e+06,3.44e+10,12.88,54.64,0.0%
9,1,23,1686,6.61e+16,9.57e+06,6.91e+09,2.87e+16,5.09e+06,5.63e+09,5.26,202.34,56.7%
10,2,21,6849,3.04e+18,5.93e+07,5.12e+10,1.58e+17,3.29e+06,4.82e+10,21.80,61.92,0.0%
11,1,27,8247,7.57e+16,9.57e+06,7.91e+09,3.99e+16,5.09e+06,7.84e+09,14.55,219.76,47.3%
12,2,21,8365,3.20e+18,5.93e+07,5.40e+10,1.67e+17,3.29e+06,5.08e+10,26.13,67.34,0.0%
13,2,18,6405,2.95e+18,5.93e+07,4.98e+10,1.54e+17,3.29e+06,4.69e+10,19.53,61.81,0.0%
14,3,23,8830,3.24e+18,5.90e+07,5.49e+10,1.15e+17,2.22e+06,5.20e+10,42.11,67.62,0.0%
15,5,24,16515,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,113.41,68.83,0.0%
16,7,14,7788,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,77.40,63.42,0.0%
