Iter,Mode,Cycles,DRAM_Acc,SRAM_Acc,NoC_Lat,NoC_Pwr
1,baseline,0,0,0,0,0
1,atomic,0,0,0,0,0
2,baseline,0,0,0,0,0
2,atomic,0,0,0,0,0
3,baseline,0,0,0,0,0
3,atomic,0,0,0,0,0
4,baseline,0,0,0,0,0
4,atomic,0,0,0,0,0
5,baseline,0,0,0,0,0
5,atomic,0,0,0,0,0
6,baseline,0,0,0,0,0
6,atomic,0,0,0,0,0
7,baseline,0,0,0,0,0
7,atomic,0,0,0,0,0
8,baseline,0,0,0,0,0
8,atomic,0,0,0,0,0
9,baseline,0,0,0,0,0
9,atomic,0,0,0,0,0
10,baseline,0,0,0,0,0
10,atomic,0,0,0,0,0
11,baseline,0,0,0,0,0
11,atomic,0,0,0,0,0
12,baseline,0,0,0,0,0
12,atomic,0,0,0,0,0
13,baseline,0,0,0,0,0
13,atomic,0,0,0,0,0
14,baseline,0,0,0,0,0
14,atomic,0,0,0,0,0
15,baseline,0,0,0,0,0
15,atomic,0,0,0,0,0
16,baseline,0,0,0,0,0
16,atomic,0,0,0,0,0
17,baseline,0,0,0,0,0
17,atomic,0,0,0,0,0
18,baseline,0,0,0,0,0
18,atomic,0,0,0,0,0
19,baseline,0,0,0,0,0
19,atomic,0,0,0,0,0
20,baseline,0,0,0,0,0
20,atomic,0,0,0,0,0
21,baseline,0,0,0,0,0
21,atomic,0,0,0,0,0
22,baseline,0,0,0,0,0
22,atomic,0,0,0,0,0
23,baseline,0,0,0,0,0
23,atomic,0,0,0,0,0
24,baseline,0,0,0,0,0
24,atomic,0,0,0,0,0
25,baseline,0,0,0,0,0
25,atomic,0,0,0,0,0
26,baseline,0,0,0,0,0
26,atomic,0,0,0,0,0
27,baseline,0,0,0,0,0
27,atomic,0,0,0,0,0
28,baseline,0,0,0,0,0
28,atomic,0,0,0,0,0
29,baseline,0,0,0,0,0
29,atomic,0,0,0,0,0
30,baseline,0,0,0,0,0
30,atomic,0,0,0,0,0
31,baseline,0,0,0,0,0
31,atomic,0,0,0,0,0
32,baseline,0,0,0,0,0
32,atomic,0,0,0,0,0
33,baseline,0,0,0,0,0
33,atomic,0,0,0,0,0
34,baseline,0,0,0,0,0
34,atomic,0,0,0,0,0
35,baseline,0,0,0,0,0
35,atomic,0,0,0,0,0
36,baseline,0,0,0,0,0
36,atomic,0,0,0,0,0
37,baseline,0,0,0,0,0
37,atomic,0,0,0,0,0
38,baseline,0,0,0,0,0
38,atomic,0,0,0,0,0
39,baseline,0,0,0,0,0
39,atomic,0,0,0,0,0
40,baseline,0,0,0,0,0
40,atomic,0,0,0,0,0
41,baseline,0,0,0,0,0
41,atomic,0,0,0,0,0
42,baseline,0,0,0,0,0
42,atomic,0,0,0,0,0
43,baseline,0,0,0,0,0
43,atomic,0,0,0,0,0
44,baseline,0,0,0,0,0
44,atomic,0,0,0,0,0
45,baseline,0,0,0,0,0
45,atomic,0,0,0,0,0
46,baseline,0,0,0,0,0
46,atomic,0,0,0,0,0
47,baseline,0,0,0,0,0
47,atomic,0,0,0,0,0
48,baseline,0,0,0,0,0
48,atomic,0,0,0,0,0
49,baseline,0,0,0,0,0
49,atomic,0,0,0,0,0
50,baseline,0,0,0,0,0
50,atomic,0,0,0,0,0
